"","job","education","age","day_of_week","euribor3m","marital","nr.employed","month"
"12955","admin.","high.school",29,"tue",4.962,"married",5228.1,"jul"
"12957","blue-collar","basic.9y",33,"tue",4.962,"single",5228.1,"jul"
"12962","blue-collar","unknown",41,"tue",4.962,"married",5228.1,"jul"
"12970","blue-collar","high.school",28,"tue",4.962,"divorced",5228.1,"jul"
"12971","blue-collar","basic.9y",38,"tue",4.962,"married",5228.1,"jul"
"12976","services","high.school",29,"tue",4.962,"married",5228.1,"jul"
"12981","blue-collar","basic.6y",30,"tue",4.962,"married",5228.1,"jul"
"12984","blue-collar","basic.9y",30,"tue",4.962,"married",5228.1,"jul"
"12986","blue-collar","basic.9y",33,"tue",4.962,"single",5228.1,"jul"
"12987","technician","professional.course",28,"tue",4.962,"married",5228.1,"jul"
"12993","services","high.school",32,"tue",4.962,"married",5228.1,"jul"
"12998","blue-collar","basic.6y",31,"tue",4.962,"married",5228.1,"jul"
"12999","housemaid","basic.4y",59,"tue",4.962,"married",5228.1,"jul"
"13004","services","high.school",28,"tue",4.962,"married",5228.1,"jul"
"13010","admin.","basic.4y",57,"tue",4.962,"married",5228.1,"jul"
"13020","services","high.school",28,"tue",4.962,"married",5228.1,"jul"
"13022","services","high.school",28,"tue",4.962,"married",5228.1,"jul"
"13030","blue-collar","basic.9y",28,"tue",4.962,"married",5228.1,"jul"
"13037","admin.","high.school",29,"tue",4.962,"married",5228.1,"jul"
"13039","admin.","university.degree",28,"tue",4.962,"single",5228.1,"jul"
"13043","services","high.school",33,"tue",4.962,"married",5228.1,"jul"
"13044","technician","high.school",30,"tue",4.962,"single",5228.1,"jul"
"13048","management","unknown",34,"tue",4.962,"single",5228.1,"jul"
"13055","blue-collar","basic.6y",42,"tue",4.962,"married",5228.1,"jul"
"13056","admin.","university.degree",35,"tue",4.962,"married",5228.1,"jul"
"13069","technician","professional.course",28,"tue",4.962,"single",5228.1,"jul"
"13073","technician","professional.course",48,"tue",4.962,"married",5228.1,"jul"
"13075","technician","professional.course",26,"tue",4.962,"single",5228.1,"jul"
"13080","admin.","high.school",54,"tue",4.962,"married",5228.1,"jul"
"13083","technician","basic.9y",42,"tue",4.962,"divorced",5228.1,"jul"
"13088","entrepreneur","basic.9y",32,"tue",4.962,"married",5228.1,"jul"
"13091","technician","university.degree",29,"tue",4.962,"single",5228.1,"jul"
"13093","admin.","basic.9y",32,"tue",4.962,"married",5228.1,"jul"
"13105","admin.","high.school",33,"wed",4.962,"married",5228.1,"jul"
"13106","blue-collar","basic.9y",34,"wed",4.962,"married",5228.1,"jul"
"13108","admin.","high.school",33,"wed",4.962,"married",5228.1,"jul"
"13111","technician","basic.9y",45,"wed",4.962,"divorced",5228.1,"jul"
"13114","entrepreneur","basic.9y",42,"wed",4.962,"married",5228.1,"jul"
"13115","technician","university.degree",28,"wed",4.962,"divorced",5228.1,"jul"
"13117","technician","university.degree",28,"wed",4.962,"divorced",5228.1,"jul"
"13120","management","university.degree",37,"wed",4.962,"single",5228.1,"jul"
"13122","management","university.degree",35,"wed",4.962,"married",5228.1,"jul"
"13125","retired","basic.4y",57,"wed",4.962,"married",5228.1,"jul"
"13132","services","basic.9y",31,"wed",4.962,"married",5228.1,"jul"
"13133","technician","professional.course",40,"wed",4.962,"married",5228.1,"jul"
"13136","blue-collar","high.school",29,"wed",4.962,"married",5228.1,"jul"
"13139","admin.","university.degree",53,"wed",4.962,"married",5228.1,"jul"
"13150","housemaid","basic.4y",43,"wed",4.962,"married",5228.1,"jul"
"13151","blue-collar","basic.4y",48,"wed",4.962,"married",5228.1,"jul"
"13166","blue-collar","basic.9y",34,"wed",4.962,"married",5228.1,"jul"
"13169","admin.","university.degree",36,"wed",4.962,"married",5228.1,"jul"
"13181","blue-collar","basic.6y",43,"wed",4.962,"married",5228.1,"jul"
"13182","admin.","high.school",30,"wed",4.962,"married",5228.1,"jul"
"13186","technician","professional.course",31,"wed",4.962,"married",5228.1,"jul"
"13190","blue-collar","basic.9y",24,"wed",4.962,"married",5228.1,"jul"
"13191","services","high.school",26,"wed",4.962,"single",5228.1,"jul"
"13192","management","university.degree",54,"wed",4.962,"married",5228.1,"jul"
"13198","blue-collar","basic.9y",40,"wed",4.962,"divorced",5228.1,"jul"
"13212","unemployed","basic.9y",44,"wed",4.962,"married",5228.1,"jul"
"13213","admin.","professional.course",40,"wed",4.962,"married",5228.1,"jul"
"13214","blue-collar","high.school",30,"wed",4.962,"married",5228.1,"jul"
"13224","technician","professional.course",31,"wed",4.962,"divorced",5228.1,"jul"
"13227","unemployed","basic.9y",44,"wed",4.962,"married",5228.1,"jul"
"13228","blue-collar","basic.9y",31,"wed",4.962,"married",5228.1,"jul"
"13232","blue-collar","basic.6y",34,"wed",4.962,"married",5228.1,"jul"
"13233","admin.","high.school",55,"wed",4.962,"divorced",5228.1,"jul"
"13235","technician","university.degree",32,"wed",4.962,"married",5228.1,"jul"
"13236","blue-collar","basic.4y",45,"wed",4.962,"divorced",5228.1,"jul"
"13237","blue-collar","basic.4y",45,"wed",4.962,"divorced",5228.1,"jul"
"13240","retired","professional.course",52,"wed",4.962,"married",5228.1,"jul"
"13241","blue-collar","basic.4y",45,"wed",4.962,"divorced",5228.1,"jul"
"13247","technician","high.school",44,"wed",4.962,"married",5228.1,"jul"
"13249","management","professional.course",52,"wed",4.962,"married",5228.1,"jul"
"13258","blue-collar","basic.9y",42,"wed",4.962,"married",5228.1,"jul"
"13264","blue-collar","basic.9y",31,"wed",4.962,"married",5228.1,"jul"
"13266","admin.","high.school",50,"wed",4.962,"single",5228.1,"jul"
"13275","unemployed","university.degree",40,"wed",4.962,"married",5228.1,"jul"
"13279","retired","basic.9y",55,"wed",4.962,"married",5228.1,"jul"
"13290","admin.","high.school",50,"wed",4.962,"single",5228.1,"jul"
"13292","admin.","high.school",32,"wed",4.962,"divorced",5228.1,"jul"
"13295","services","high.school",24,"wed",4.962,"single",5228.1,"jul"
"13304","admin.","high.school",31,"wed",4.962,"single",5228.1,"jul"
"13316","blue-collar","basic.9y",30,"wed",4.962,"married",5228.1,"jul"
"13318","blue-collar","basic.6y",37,"wed",4.962,"married",5228.1,"jul"
"13320","blue-collar","basic.6y",37,"wed",4.962,"married",5228.1,"jul"
"13328","self-employed","basic.9y",45,"wed",4.962,"married",5228.1,"jul"
"13329","admin.","university.degree",30,"wed",4.962,"married",5228.1,"jul"
"13332","blue-collar","basic.9y",26,"wed",4.962,"single",5228.1,"jul"
"13333","entrepreneur","university.degree",37,"wed",4.962,"divorced",5228.1,"jul"
"13334","blue-collar","high.school",34,"wed",4.962,"single",5228.1,"jul"
"13336","management","high.school",29,"wed",4.962,"single",5228.1,"jul"
"13337","admin.","university.degree",27,"wed",4.962,"married",5228.1,"jul"
"13338","management","university.degree",26,"wed",4.962,"single",5228.1,"jul"
"13340","admin.","high.school",32,"wed",4.962,"single",5228.1,"jul"
"13343","admin.","high.school",29,"wed",4.962,"single",5228.1,"jul"
"13344","blue-collar","basic.9y",30,"wed",4.962,"married",5228.1,"jul"
"13349","blue-collar","professional.course",45,"wed",4.962,"divorced",5228.1,"jul"
"13367","unemployed","high.school",42,"wed",4.962,"married",5228.1,"jul"
"13368","services","high.school",40,"wed",4.962,"married",5228.1,"jul"
"13395","blue-collar","basic.4y",27,"wed",4.962,"single",5228.1,"jul"
"13400","blue-collar","basic.6y",33,"wed",4.962,"married",5228.1,"jul"
"13402","blue-collar","basic.4y",40,"wed",4.962,"married",5228.1,"jul"
"13410","admin.","high.school",34,"wed",4.962,"married",5228.1,"jul"
"13416","technician","university.degree",25,"wed",4.962,"married",5228.1,"jul"
"13420","admin.","university.degree",32,"wed",4.962,"married",5228.1,"jul"
"13422","technician","professional.course",39,"wed",4.962,"married",5228.1,"jul"
"13432","retired","basic.4y",58,"wed",4.962,"married",5228.1,"jul"
"13439","blue-collar","professional.course",28,"wed",4.962,"single",5228.1,"jul"
"13445","unemployed","basic.9y",44,"wed",4.962,"married",5228.1,"jul"
"13449","technician","professional.course",45,"wed",4.962,"married",5228.1,"jul"
"13452","admin.","university.degree",27,"wed",4.962,"married",5228.1,"jul"
"13466","services","basic.4y",53,"wed",4.962,"divorced",5228.1,"jul"
"13479","admin.","university.degree",32,"thu",4.963,"divorced",5228.1,"jul"
"13487","blue-collar","basic.4y",40,"thu",4.963,"married",5228.1,"jul"
"13496","housemaid","basic.4y",55,"thu",4.963,"married",5228.1,"jul"
"13498","management","university.degree",50,"thu",4.963,"married",5228.1,"jul"
"13523","blue-collar","basic.9y",36,"thu",4.963,"married",5228.1,"jul"
"13524","blue-collar","basic.9y",36,"thu",4.963,"married",5228.1,"jul"
"13540","blue-collar","basic.9y",31,"thu",4.963,"married",5228.1,"jul"
"13544","blue-collar","basic.9y",32,"thu",4.963,"divorced",5228.1,"jul"
"13551","services","basic.9y",32,"thu",4.963,"single",5228.1,"jul"
"13556","housemaid","high.school",38,"thu",4.963,"married",5228.1,"jul"
"13562","blue-collar","high.school",23,"thu",4.963,"single",5228.1,"jul"
"13563","student","university.degree",29,"thu",4.963,"single",5228.1,"jul"
"13565","admin.","university.degree",29,"thu",4.963,"single",5228.1,"jul"
"13567","student","university.degree",29,"thu",4.963,"single",5228.1,"jul"
"13573","blue-collar","basic.4y",39,"thu",4.963,"single",5228.1,"jul"
"13578","technician","university.degree",37,"thu",4.963,"married",5228.1,"jul"
"13582","services","high.school",38,"thu",4.963,"divorced",5228.1,"jul"
"13587","technician","professional.course",27,"thu",4.963,"married",5228.1,"jul"
"13596","blue-collar","basic.9y",43,"thu",4.963,"single",5228.1,"jul"
"13597","admin.","university.degree",42,"thu",4.963,"single",5228.1,"jul"
"13602","services","high.school",58,"thu",4.963,"married",5228.1,"jul"
"13606","blue-collar","basic.6y",38,"thu",4.963,"single",5228.1,"jul"
"13616","admin.","high.school",25,"thu",4.963,"single",5228.1,"jul"
"13617","student","basic.6y",34,"thu",4.963,"divorced",5228.1,"jul"
"13621","management","basic.4y",57,"thu",4.963,"married",5228.1,"jul"
"13623","blue-collar","basic.9y",29,"thu",4.963,"married",5228.1,"jul"
"13632","technician","high.school",34,"thu",4.963,"married",5228.1,"jul"
"13635","blue-collar","high.school",27,"thu",4.963,"married",5228.1,"jul"
"13641","admin.","university.degree",26,"thu",4.963,"married",5228.1,"jul"
"13642","admin.","high.school",28,"thu",4.963,"single",5228.1,"jul"
"13643","technician","professional.course",27,"thu",4.963,"married",5228.1,"jul"
"13667","technician","professional.course",27,"thu",4.963,"married",5228.1,"jul"
"13669","blue-collar","basic.4y",31,"thu",4.963,"single",5228.1,"jul"
"13679","blue-collar","basic.4y",41,"thu",4.963,"single",5228.1,"jul"
"13685","blue-collar","high.school",54,"thu",4.963,"married",5228.1,"jul"
"13693","blue-collar","basic.9y",31,"thu",4.963,"single",5228.1,"jul"
"13709","admin.","high.school",31,"thu",4.963,"married",5228.1,"jul"
"13710","management","university.degree",55,"thu",4.963,"married",5228.1,"jul"
"13717","blue-collar","basic.9y",46,"thu",4.963,"single",5228.1,"jul"
"13729","admin.","university.degree",32,"thu",4.963,"married",5228.1,"jul"
"13731","unknown","professional.course",32,"thu",4.963,"single",5228.1,"jul"
"13738","unknown","professional.course",32,"thu",4.963,"single",5228.1,"jul"
"13743","admin.","high.school",28,"thu",4.963,"single",5228.1,"jul"
"13749","blue-collar","basic.9y",44,"thu",4.963,"married",5228.1,"jul"
"13751","blue-collar","basic.9y",44,"thu",4.963,"married",5228.1,"jul"
"13753","entrepreneur","professional.course",41,"thu",4.963,"divorced",5228.1,"jul"
"13756","blue-collar","basic.9y",44,"thu",4.963,"married",5228.1,"jul"
"13780","blue-collar","basic.9y",25,"thu",4.963,"married",5228.1,"jul"
"13784","blue-collar","basic.4y",46,"thu",4.963,"married",5228.1,"jul"
"13786","management","high.school",33,"thu",4.963,"married",5228.1,"jul"
"13800","technician","professional.course",31,"thu",4.963,"married",5228.1,"jul"
"13803","services","university.degree",24,"thu",4.963,"single",5228.1,"jul"
"13805","services","high.school",27,"thu",4.963,"married",5228.1,"jul"
"13807","blue-collar","basic.4y",40,"thu",4.963,"married",5228.1,"jul"
"13819","management","university.degree",60,"thu",4.963,"married",5228.1,"jul"
"13831","blue-collar","basic.4y",56,"fri",4.963,"married",5228.1,"jul"
"13836","admin.","high.school",52,"fri",4.963,"divorced",5228.1,"jul"
"13839","admin.","high.school",33,"fri",4.963,"divorced",5228.1,"jul"
"13841","blue-collar","basic.9y",35,"fri",4.963,"married",5228.1,"jul"
"13845","blue-collar","basic.9y",35,"fri",4.963,"married",5228.1,"jul"
"13846","blue-collar","basic.6y",30,"fri",4.963,"single",5228.1,"jul"
"13850","student","basic.4y",24,"fri",4.963,"single",5228.1,"jul"
"13851","blue-collar","basic.4y",42,"fri",4.963,"married",5228.1,"jul"
"13853","student","basic.4y",24,"fri",4.963,"single",5228.1,"jul"
"13856","management","university.degree",35,"fri",4.963,"married",5228.1,"jul"
"13858","student","basic.4y",24,"fri",4.963,"single",5228.1,"jul"
"13862","blue-collar","basic.9y",51,"fri",4.963,"married",5228.1,"jul"
"13863","blue-collar","basic.9y",51,"fri",4.963,"married",5228.1,"jul"
"13865","technician","professional.course",34,"fri",4.963,"married",5228.1,"jul"
"13869","retired","basic.4y",49,"fri",4.963,"single",5228.1,"jul"
"13871","entrepreneur","basic.4y",44,"fri",4.963,"divorced",5228.1,"jul"
"13873","blue-collar","basic.9y",22,"fri",4.963,"married",5228.1,"jul"
"13877","technician","professional.course",56,"fri",4.963,"married",5228.1,"jul"
"13881","management","high.school",32,"fri",4.963,"single",5228.1,"jul"
"13886","blue-collar","professional.course",32,"fri",4.963,"single",5228.1,"jul"
"13888","admin.","university.degree",28,"fri",4.963,"single",5228.1,"jul"
"13893","blue-collar","basic.4y",28,"fri",4.963,"single",5228.1,"jul"
"13895","blue-collar","basic.9y",24,"fri",4.963,"married",5228.1,"jul"
"13903","admin.","high.school",29,"fri",4.963,"single",5228.1,"jul"
"13907","entrepreneur","professional.course",55,"fri",4.963,"married",5228.1,"jul"
"13910","admin.","high.school",33,"fri",4.963,"married",5228.1,"jul"
"13913","admin.","university.degree",31,"fri",4.963,"single",5228.1,"jul"
"13921","blue-collar","high.school",54,"fri",4.963,"divorced",5228.1,"jul"
"13926","services","high.school",33,"fri",4.963,"married",5228.1,"jul"
"13928","admin.","university.degree",35,"fri",4.963,"single",5228.1,"jul"
"13935","blue-collar","basic.6y",31,"fri",4.963,"married",5228.1,"jul"
"13943","admin.","university.degree",33,"fri",4.963,"single",5228.1,"jul"
"13945","blue-collar","basic.9y",38,"fri",4.963,"divorced",5228.1,"jul"
"13953","services","professional.course",41,"fri",4.963,"married",5228.1,"jul"
"13964","entrepreneur","professional.course",43,"fri",4.963,"divorced",5228.1,"jul"
"13966","admin.","university.degree",35,"fri",4.963,"single",5228.1,"jul"
"13969","admin.","high.school",49,"fri",4.963,"married",5228.1,"jul"
"13972","blue-collar","basic.4y",35,"fri",4.963,"single",5228.1,"jul"
"13979","blue-collar","basic.9y",38,"fri",4.963,"divorced",5228.1,"jul"
"13983","blue-collar","basic.9y",38,"fri",4.963,"divorced",5228.1,"jul"
"13990","blue-collar","basic.9y",38,"fri",4.963,"divorced",5228.1,"jul"
"13992","technician","university.degree",33,"fri",4.963,"single",5228.1,"jul"
"13996","student","university.degree",25,"fri",4.963,"single",5228.1,"jul"
"13998","student","high.school",31,"fri",4.963,"single",5228.1,"jul"
"14000","blue-collar","basic.6y",31,"fri",4.963,"married",5228.1,"jul"
"14001","management","basic.9y",53,"fri",4.963,"married",5228.1,"jul"
"14004","admin.","high.school",31,"fri",4.963,"single",5228.1,"jul"
"14005","unemployed","high.school",25,"fri",4.963,"married",5228.1,"jul"
"14006","admin.","high.school",35,"fri",4.963,"married",5228.1,"jul"
"14007","management","unknown",45,"fri",4.963,"married",5228.1,"jul"
"14010","blue-collar","basic.6y",28,"fri",4.963,"married",5228.1,"jul"
"14018","admin.","university.degree",55,"fri",4.963,"married",5228.1,"jul"
"14030","admin.","university.degree",30,"fri",4.963,"married",5228.1,"jul"
"14031","admin.","high.school",31,"fri",4.963,"married",5228.1,"jul"
"14036","unemployed","university.degree",52,"fri",4.963,"married",5228.1,"jul"
"14040","housemaid","basic.4y",46,"fri",4.963,"married",5228.1,"jul"
"14053","admin.","high.school",35,"fri",4.963,"single",5228.1,"jul"
"14057","technician","unknown",32,"fri",4.963,"married",5228.1,"jul"
"14059","admin.","university.degree",30,"fri",4.963,"married",5228.1,"jul"
"14069","admin.","university.degree",37,"fri",4.963,"single",5228.1,"jul"
"14070","technician","basic.9y",43,"fri",4.963,"divorced",5228.1,"jul"
"14080","technician","professional.course",27,"mon",4.962,"married",5228.1,"jul"
"14083","blue-collar","unknown",54,"mon",4.962,"single",5228.1,"jul"
"14085","blue-collar","basic.4y",32,"mon",4.962,"married",5228.1,"jul"
"14088","management","university.degree",58,"mon",4.962,"married",5228.1,"jul"
"14089","blue-collar","basic.9y",29,"mon",4.962,"married",5228.1,"jul"
"14093","blue-collar","basic.9y",27,"mon",4.962,"single",5228.1,"jul"
"14094","admin.","university.degree",32,"mon",4.962,"single",5228.1,"jul"
"14097","technician","high.school",26,"mon",4.962,"married",5228.1,"jul"
"14101","technician","university.degree",39,"mon",4.962,"divorced",5228.1,"jul"
"14103","technician","university.degree",31,"mon",4.962,"single",5228.1,"jul"
"14106","unknown","basic.9y",56,"mon",4.962,"single",5228.1,"jul"
"14111","blue-collar","basic.9y",30,"mon",4.962,"married",5228.1,"jul"
"14117","entrepreneur","university.degree",33,"mon",4.962,"married",5228.1,"jul"
"14119","unknown","basic.9y",56,"mon",4.962,"single",5228.1,"jul"
"14121","services","high.school",27,"mon",4.962,"single",5228.1,"jul"
"14122","admin.","university.degree",51,"mon",4.962,"divorced",5228.1,"jul"
"14132","admin.","university.degree",33,"mon",4.962,"married",5228.1,"jul"
"14141","management","university.degree",29,"mon",4.962,"single",5228.1,"jul"
"14149","unknown","basic.9y",56,"mon",4.962,"single",5228.1,"jul"
"14151","blue-collar","basic.9y",23,"mon",4.962,"single",5228.1,"jul"
"14153","blue-collar","basic.9y",27,"mon",4.962,"single",5228.1,"jul"
"14160","blue-collar","high.school",35,"mon",4.962,"married",5228.1,"jul"
"14164","entrepreneur","university.degree",40,"mon",4.962,"married",5228.1,"jul"
"14176","admin.","high.school",28,"mon",4.962,"single",5228.1,"jul"
"14177","blue-collar","high.school",26,"mon",4.962,"single",5228.1,"jul"
"14178","blue-collar","high.school",30,"mon",4.962,"married",5228.1,"jul"
"14185","admin.","university.degree",30,"mon",4.962,"single",5228.1,"jul"
"14187","blue-collar","high.school",35,"mon",4.962,"married",5228.1,"jul"
"14191","blue-collar","unknown",54,"mon",4.962,"single",5228.1,"jul"
"14199","blue-collar","basic.6y",40,"mon",4.962,"married",5228.1,"jul"
"14211","blue-collar","basic.9y",35,"mon",4.962,"married",5228.1,"jul"
"14215","technician","professional.course",30,"mon",4.962,"married",5228.1,"jul"
"14217","admin.","high.school",27,"mon",4.962,"married",5228.1,"jul"
"14221","admin.","basic.9y",23,"mon",4.962,"married",5228.1,"jul"
"14233","self-employed","university.degree",34,"mon",4.962,"divorced",5228.1,"jul"
"14235","technician","professional.course",27,"mon",4.962,"single",5228.1,"jul"
"14236","student","university.degree",26,"mon",4.962,"single",5228.1,"jul"
"14237","blue-collar","basic.9y",35,"mon",4.962,"married",5228.1,"jul"
"14242","self-employed","university.degree",33,"mon",4.962,"married",5228.1,"jul"
"14243","management","university.degree",31,"mon",4.962,"married",5228.1,"jul"
"14244","entrepreneur","high.school",44,"mon",4.962,"married",5228.1,"jul"
"14251","housemaid","high.school",27,"mon",4.962,"married",5228.1,"jul"
"14253","unemployed","high.school",32,"mon",4.962,"married",5228.1,"jul"
"14258","admin.","high.school",37,"mon",4.962,"married",5228.1,"jul"
"14265","admin.","high.school",28,"mon",4.962,"single",5228.1,"jul"
"14266","blue-collar","basic.6y",46,"mon",4.962,"single",5228.1,"jul"
"14271","blue-collar","basic.6y",31,"mon",4.962,"divorced",5228.1,"jul"
"14279","retired","university.degree",57,"mon",4.962,"married",5228.1,"jul"
"14283","blue-collar","basic.6y",49,"mon",4.962,"divorced",5228.1,"jul"
"14288","admin.","high.school",26,"mon",4.962,"single",5228.1,"jul"
"14289","admin.","university.degree",42,"mon",4.962,"married",5228.1,"jul"
"14292","technician","professional.course",42,"mon",4.962,"married",5228.1,"jul"
"14306","admin.","high.school",43,"mon",4.962,"married",5228.1,"jul"
"14310","blue-collar","professional.course",50,"mon",4.962,"married",5228.1,"jul"
"14313","blue-collar","basic.6y",37,"mon",4.962,"married",5228.1,"jul"
"14327","technician","professional.course",30,"mon",4.962,"single",5228.1,"jul"
"14330","blue-collar","basic.4y",54,"mon",4.962,"married",5228.1,"jul"
"14333","unemployed","high.school",44,"mon",4.962,"married",5228.1,"jul"
"14346","admin.","high.school",35,"mon",4.962,"married",5228.1,"jul"
"14347","blue-collar","basic.9y",27,"mon",4.962,"single",5228.1,"jul"
"14349","services","high.school",34,"mon",4.962,"married",5228.1,"jul"
"14353","housemaid","university.degree",51,"mon",4.962,"married",5228.1,"jul"
"14363","blue-collar","high.school",23,"mon",4.962,"single",5228.1,"jul"
"14365","services","basic.9y",38,"mon",4.962,"single",5228.1,"jul"
"14369","management","university.degree",35,"mon",4.962,"single",5228.1,"jul"
"14370","unemployed","high.school",43,"mon",4.962,"married",5228.1,"jul"
"14375","student","high.school",28,"mon",4.962,"single",5228.1,"jul"
"14379","technician","professional.course",36,"mon",4.962,"divorced",5228.1,"jul"
"14380","blue-collar","basic.9y",44,"mon",4.962,"married",5228.1,"jul"
"14387","admin.","high.school",31,"mon",4.962,"single",5228.1,"jul"
"14396","blue-collar","basic.4y",44,"mon",4.962,"married",5228.1,"jul"
"14400","blue-collar","basic.4y",34,"mon",4.962,"married",5228.1,"jul"
"14402","blue-collar","basic.9y",38,"mon",4.962,"single",5228.1,"jul"
"14404","blue-collar","high.school",33,"mon",4.962,"married",5228.1,"jul"
"14408","blue-collar","basic.9y",30,"mon",4.962,"married",5228.1,"jul"
"14421","blue-collar","basic.9y",53,"tue",4.961,"married",5228.1,"jul"
"14424","blue-collar","basic.4y",28,"tue",4.961,"single",5228.1,"jul"
"14432","blue-collar","basic.6y",32,"tue",4.961,"married",5228.1,"jul"
"14435","admin.","university.degree",30,"tue",4.961,"single",5228.1,"jul"
"14436","blue-collar","basic.9y",27,"tue",4.961,"single",5228.1,"jul"
"14438","admin.","high.school",35,"tue",4.961,"divorced",5228.1,"jul"
"14439","technician","university.degree",50,"tue",4.961,"single",5228.1,"jul"
"14442","management","university.degree",56,"tue",4.961,"married",5228.1,"jul"
"14447","technician","professional.course",27,"tue",4.961,"single",5228.1,"jul"
"14449","blue-collar","basic.9y",23,"tue",4.961,"single",5228.1,"jul"
"14450","retired","university.degree",51,"tue",4.961,"married",5228.1,"jul"
"14455","blue-collar","basic.6y",32,"tue",4.961,"single",5228.1,"jul"
"14456","management","university.degree",32,"tue",4.961,"divorced",5228.1,"jul"
"14471","technician","professional.course",35,"tue",4.961,"married",5228.1,"jul"
"14476","services","high.school",33,"tue",4.961,"married",5228.1,"jul"
"14480","retired","basic.4y",54,"tue",4.961,"married",5228.1,"jul"
"14489","self-employed","professional.course",36,"tue",4.961,"divorced",5228.1,"jul"
"14495","blue-collar","basic.9y",32,"tue",4.961,"married",5228.1,"jul"
"14496","blue-collar","basic.6y",53,"tue",4.961,"married",5228.1,"jul"
"14499","blue-collar","basic.4y",37,"tue",4.961,"married",5228.1,"jul"
"14500","blue-collar","basic.4y",45,"tue",4.961,"married",5228.1,"jul"
"14506","services","university.degree",38,"tue",4.961,"single",5228.1,"jul"
"14507","entrepreneur","basic.4y",29,"tue",4.961,"married",5228.1,"jul"
"14511","admin.","university.degree",33,"tue",4.961,"single",5228.1,"jul"
"14516","services","high.school",27,"tue",4.961,"single",5228.1,"jul"
"14522","admin.","high.school",37,"tue",4.961,"divorced",5228.1,"jul"
"14532","unemployed","university.degree",48,"tue",4.961,"married",5228.1,"jul"
"14533","blue-collar","basic.4y",40,"tue",4.961,"single",5228.1,"jul"
"14536","blue-collar","basic.9y",31,"tue",4.961,"married",5228.1,"jul"
"14541","blue-collar","unknown",57,"tue",4.961,"married",5228.1,"jul"
"14542","admin.","university.degree",26,"tue",4.961,"married",5228.1,"jul"
"14545","technician","professional.course",45,"tue",4.961,"married",5228.1,"jul"
"14556","admin.","high.school",24,"tue",4.961,"single",5228.1,"jul"
"14558","admin.","basic.6y",47,"tue",4.961,"married",5228.1,"jul"
"14566","blue-collar","basic.9y",31,"tue",4.961,"married",5228.1,"jul"
"14568","admin.","basic.9y",36,"tue",4.961,"single",5228.1,"jul"
"14576","blue-collar","basic.9y",28,"tue",4.961,"married",5228.1,"jul"
"14580","management","university.degree",33,"tue",4.961,"married",5228.1,"jul"
"14588","services","high.school",30,"tue",4.961,"single",5228.1,"jul"
"14593","services","unknown",32,"tue",4.961,"single",5228.1,"jul"
"14595","admin.","high.school",28,"tue",4.961,"married",5228.1,"jul"
"14597","services","high.school",33,"tue",4.961,"married",5228.1,"jul"
"14600","technician","professional.course",26,"tue",4.961,"divorced",5228.1,"jul"
"14601","blue-collar","basic.4y",30,"tue",4.961,"single",5228.1,"jul"
"14608","admin.","high.school",38,"tue",4.961,"single",5228.1,"jul"
"14621","blue-collar","basic.9y",43,"tue",4.961,"married",5228.1,"jul"
"14623","admin.","university.degree",34,"tue",4.961,"single",5228.1,"jul"
"14624","housemaid","high.school",36,"tue",4.961,"single",5228.1,"jul"
"14628","blue-collar","basic.9y",47,"tue",4.961,"married",5228.1,"jul"
"14629","admin.","professional.course",50,"tue",4.961,"married",5228.1,"jul"
"14631","entrepreneur","basic.6y",41,"tue",4.961,"married",5228.1,"jul"
"14639","blue-collar","basic.6y",43,"tue",4.961,"married",5228.1,"jul"
"14645","services","high.school",33,"tue",4.961,"married",5228.1,"jul"
"14647","admin.","university.degree",48,"tue",4.961,"single",5228.1,"jul"
"14648","blue-collar","high.school",30,"tue",4.961,"married",5228.1,"jul"
"14657","services","high.school",27,"tue",4.961,"single",5228.1,"jul"
"14661","blue-collar","basic.6y",28,"tue",4.961,"single",5228.1,"jul"
"14670","management","basic.9y",57,"tue",4.961,"married",5228.1,"jul"
"14671","blue-collar","basic.9y",35,"tue",4.961,"single",5228.1,"jul"
"14683","unemployed","university.degree",35,"tue",4.961,"married",5228.1,"jul"
"14692","blue-collar","basic.9y",35,"tue",4.961,"single",5228.1,"jul"
"14693","blue-collar","high.school",27,"tue",4.961,"single",5228.1,"jul"
"14700","admin.","university.degree",34,"tue",4.961,"single",5228.1,"jul"
"14705","admin.","university.degree",38,"tue",4.961,"divorced",5228.1,"jul"
"14707","blue-collar","basic.6y",39,"tue",4.961,"married",5228.1,"jul"
"14708","unemployed","university.degree",48,"tue",4.961,"married",5228.1,"jul"
"14712","blue-collar","basic.6y",57,"tue",4.961,"divorced",5228.1,"jul"
"14716","technician","professional.course",46,"tue",4.961,"divorced",5228.1,"jul"
"14717","services","high.school",33,"tue",4.961,"married",5228.1,"jul"
"14719","blue-collar","basic.4y",36,"tue",4.961,"married",5228.1,"jul"
"14721","blue-collar","unknown",53,"tue",4.961,"divorced",5228.1,"jul"
"14722","admin.","high.school",35,"tue",4.961,"married",5228.1,"jul"
"14724","services","high.school",24,"wed",4.957,"single",5228.1,"jul"
"14739","admin.","high.school",24,"wed",4.957,"single",5228.1,"jul"
"14742","admin.","high.school",26,"wed",4.957,"married",5228.1,"jul"
"14746","housemaid","basic.4y",55,"wed",4.957,"married",5228.1,"jul"
"14754","blue-collar","unknown",30,"wed",4.957,"married",5228.1,"jul"
